Filepath,Label
..\Fruits_Vegetables\train\cauliflower\Image_61.jpg,cauliflower
..\Fruits_Vegetables\train\cauliflower\Image_16.jpg,cauliflower
..\Fruits_Vegetables\train\turnip\Image_16.JPG,turnip
..\Fruits_Vegetables\train\pomegranate\Image_88.jpg,pomegranate
..\Fruits_Vegetables\train\cabbage\Image_96.jpg,cabbage
..\Fruits_Vegetables\train\sweetcorn\Image_59.jpg,sweetcorn
..\Fruits_Vegetables\train\lettuce\Image_13.jpg,lettuce
..\Fruits_Vegetables\train\eggplant\Image_19.jpg,eggplant
..\Fruits_Vegetables\train\eggplant\Image_23.JPG,eggplant
..\Fruits_Vegetables\train\raddish\Image_20.jpg,raddish
..\Fruits_Vegetables\train\peas\Image_90.jpg,peas
..\Fruits_Vegetables\train\potato\Image_82.jpg,potato
..\Fruits_Vegetables\train\cabbage\Image_81.jpg,cabbage
..\Fruits_Vegetables\train\sweetpotato\Image_38.jpg,sweetpotato
..\Fruits_Vegetables\train\jalepeno\Image_85.jpg,jalepeno
..\Fruits_Vegetables\train\capsicum\Image_86.jpg,capsicum
..\Fruits_Vegetables\train\eggplant\Image_82.jpg,eggplant
..\Fruits_Vegetables\train\carrot\Image_24.jpg,carrot
..\Fruits_Vegetables\train\mango\Image_97.jpg,mango
..\Fruits_Vegetables\train\mango\Image_37.jpg,mango
..\Fruits_Vegetables\train\soy beans\Image_90.jpg,soy beans
..\Fruits_Vegetables\train\turnip\Image_34.jpg,turnip
..\Fruits_Vegetables\train\spinach\Image_51.jpg,spinach
..\Fruits_Vegetables\train\grapes\Image_74.jpg,grapes
..\Fruits_Vegetables\train\watermelon\Image_45.jpg,watermelon
..\Fruits_Vegetables\train\raddish\Image_23.jpg,raddish
..\Fruits_Vegetables\train\chilli pepper\Image_72.jpg,chilli pepper
..\Fruits_Vegetables\train\onion\Image_88.jpg,onion
..\Fruits_Vegetables\train\soy beans\Image_5.jpg,soy beans
..\Fruits_Vegetables\train\jalepeno\Image_53.jpg,jalepeno
..\Fruits_Vegetables\train\apple\Image_19.jpg,apple
..\Fruits_Vegetables\train\beetroot\Image_13.jpg,beetroot
..\Fruits_Vegetables\train\cucumber\Image_99.jpg,cucumber
..\Fruits_Vegetables\train\pineapple\Image_78.jpg,pineapple
..\Fruits_Vegetables\train\raddish\Image_36.jpg,raddish
..\Fruits_Vegetables\train\banana\Image_97.jpg,banana
..\Fruits_Vegetables\train\turnip\Image_27.jpg,turnip
..\Fruits_Vegetables\train\tomato\Image_11.jpg,tomato
..\Fruits_Vegetables\train\jalepeno\Image_7.jpg,jalepeno
..\Fruits_Vegetables\train\bell pepper\Image_5.jpg,bell pepper
..\Fruits_Vegetables\train\cabbage\Image_76.jpg,cabbage
..\Fruits_Vegetables\train\lettuce\Image_12.jpg,lettuce
..\Fruits_Vegetables\train\capsicum\Image_1.jpg,capsicum
..\Fruits_Vegetables\train\bell pepper\Image_21.jpg,bell pepper
..\Fruits_Vegetables\train\grapes\Image_10.jpg,grapes
..\Fruits_Vegetables\train\mango\Image_47.jpg,mango
..\Fruits_Vegetables\train\turnip\Image_89.jpg,turnip
..\Fruits_Vegetables\train\raddish\Image_25.jpg,raddish
..\Fruits_Vegetables\train\corn\Image_89.jpg,corn
..\Fruits_Vegetables\train\mango\Image_53.jpg,mango
..\Fruits_Vegetables\train\ginger\Image_64.jpg,ginger
..\Fruits_Vegetables\train\jalepeno\Image_51.jpg,jalepeno
..\Fruits_Vegetables\train\onion\Image_27.jpg,onion
..\Fruits_Vegetables\train\pomegranate\Image_4.jpg,pomegranate
..\Fruits_Vegetables\train\beetroot\Image_1.jpg,beetroot
..\Fruits_Vegetables\train\lemon\Image_7.jpg,lemon
..\Fruits_Vegetables\train\banana\Image_89.jpg,banana
..\Fruits_Vegetables\train\corn\Image_39.jpg,corn
..\Fruits_Vegetables\train\grapes\Image_16.jpg,grapes
..\Fruits_Vegetables\train\watermelon\Image_27.jpg,watermelon
..\Fruits_Vegetables\train\orange\Image_29.jpg,orange
..\Fruits_Vegetables\train\beetroot\Image_50.jpg,beetroot
..\Fruits_Vegetables\train\pineapple\Image_25.jpg,pineapple
..\Fruits_Vegetables\train\sweetcorn\Image_22.jpg,sweetcorn
..\Fruits_Vegetables\train\cucumber\Image_89.jpg,cucumber
..\Fruits_Vegetables\train\soy beans\Image_71.jpg,soy beans
..\Fruits_Vegetables\train\kiwi\Image_33.jpg,kiwi
..\Fruits_Vegetables\train\pear\Image_53.jpg,pear
..\Fruits_Vegetables\train\onion\Image_87.jpg,onion
..\Fruits_Vegetables\train\paprika\Image_38.jpg,paprika
..\Fruits_Vegetables\train\turnip\Image_78.jpg,turnip
..\Fruits_Vegetables\train\raddish\Image_24.JPG,raddish
..\Fruits_Vegetables\train\corn\Image_33.jpg,corn
..\Fruits_Vegetables\train\pear\Image_63.jpg,pear
..\Fruits_Vegetables\train\onion\Image_59.jpg,onion
..\Fruits_Vegetables\train\capsicum\Image_53.jpg,capsicum
..\Fruits_Vegetables\train\cucumber\Image_93.jpg,cucumber
..\Fruits_Vegetables\train\eggplant\Image_65.jpg,eggplant
..\Fruits_Vegetables\train\garlic\Image_83.jpg,garlic
..\Fruits_Vegetables\train\garlic\Image_77.jpg,garlic
..\Fruits_Vegetables\train\cabbage\Image_73.jpg,cabbage
..\Fruits_Vegetables\train\capsicum\Image_17.jpg,capsicum
..\Fruits_Vegetables\train\beetroot\Image_64.jpg,beetroot
..\Fruits_Vegetables\train\apple\Image_54.jpg,apple
..\Fruits_Vegetables\train\lettuce\Image_97.jpg,lettuce
..\Fruits_Vegetables\train\corn\Image_13.jpg,corn
..\Fruits_Vegetables\train\pineapple\Image_88.jpg,pineapple
..\Fruits_Vegetables\train\cauliflower\Image_23.jpg,cauliflower
..\Fruits_Vegetables\train\turnip\Image_13.jpg,turnip
..\Fruits_Vegetables\train\sweetpotato\Image_66.jpg,sweetpotato
..\Fruits_Vegetables\train\lettuce\Image_7.jpg,lettuce
..\Fruits_Vegetables\train\raddish\Image_14.jpg,raddish
..\Fruits_Vegetables\train\beetroot\Image_61.jpg,beetroot
..\Fruits_Vegetables\train\corn\Image_31.jpg,corn
..\Fruits_Vegetables\train\pear\Image_23.jpg,pear
..\Fruits_Vegetables\train\jalepeno\Image_72.jpg,jalepeno
..\Fruits_Vegetables\train\soy beans\Image_6.jpg,soy beans
..\Fruits_Vegetables\train\orange\Image_67.jpg,orange
..\Fruits_Vegetables\train\eggplant\Image_9.jpg,eggplant
..\Fruits_Vegetables\train\cauliflower\Image_7.jpg,cauliflower
..\Fruits_Vegetables\train\sweetcorn\Image_19.jpg,sweetcorn
..\Fruits_Vegetables\train\kiwi\Image_84.jpg,kiwi
..\Fruits_Vegetables\train\paprika\Image_99.jpg,paprika
..\Fruits_Vegetables\train\tomato\Image_32.jpg,tomato
..\Fruits_Vegetables\train\lettuce\Image_36.JPG,lettuce
..\Fruits_Vegetables\train\watermelon\Image_59.jpg,watermelon
..\Fruits_Vegetables\train\pear\Image_93.jpg,pear
..\Fruits_Vegetables\train\pear\Image_95.jpg,pear
..\Fruits_Vegetables\train\cabbage\Image_57.jpg,cabbage
..\Fruits_Vegetables\train\orange\Image_44.jpg,orange
..\Fruits_Vegetables\train\grapes\Image_1.jpg,grapes
..\Fruits_Vegetables\train\sweetcorn\Image_72.jpg,sweetcorn
..\Fruits_Vegetables\train\eggplant\Image_95.jpg,eggplant
..\Fruits_Vegetables\train\raddish\Image_10.jpg,raddish
..\Fruits_Vegetables\train\paprika\Image_34.jpg,paprika
..\Fruits_Vegetables\train\soy beans\Image_55.jpg,soy beans
..\Fruits_Vegetables\train\apple\Image_50.jpg,apple
..\Fruits_Vegetables\train\lettuce\Image_49.jpg,lettuce
..\Fruits_Vegetables\train\apple\Image_7.jpg,apple
..\Fruits_Vegetables\train\lettuce\Image_58.jpg,lettuce
..\Fruits_Vegetables\train\soy beans\Image_80.jpg,soy beans
..\Fruits_Vegetables\train\raddish\Image_66.jpg,raddish
..\Fruits_Vegetables\train\orange\Image_74.jpg,orange
..\Fruits_Vegetables\train\grapes\Image_38.jpg,grapes
..\Fruits_Vegetables\train\turnip\Image_26.jpg,turnip
..\Fruits_Vegetables\train\capsicum\Image_26.jpg,capsicum
..\Fruits_Vegetables\train\sweetpotato\Image_69.jpg,sweetpotato
..\Fruits_Vegetables\train\tomato\Image_30.jpg,tomato
..\Fruits_Vegetables\train\paprika\Image_47.jpg,paprika
..\Fruits_Vegetables\train\beetroot\Image_26.jpg,beetroot
..\Fruits_Vegetables\train\cabbage\Image_88.jpg,cabbage
..\Fruits_Vegetables\train\watermelon\Image_25.jpg,watermelon
..\Fruits_Vegetables\train\kiwi\Image_38.jpg,kiwi
..\Fruits_Vegetables\train\watermelon\Image_38.jpg,watermelon
..\Fruits_Vegetables\train\soy beans\Image_52.jpg,soy beans
..\Fruits_Vegetables\train\cauliflower\Image_50.jpg,cauliflower
..\Fruits_Vegetables\train\lettuce\Image_67.jpg,lettuce
..\Fruits_Vegetables\train\chilli pepper\Image_26.jpg,chilli pepper
..\Fruits_Vegetables\train\kiwi\Image_44.jpg,kiwi
..\Fruits_Vegetables\train\tomato\Image_28.jpg,tomato
..\Fruits_Vegetables\train\sweetcorn\Image_7.jpg,sweetcorn
..\Fruits_Vegetables\train\soy beans\Image_31.jpg,soy beans
..\Fruits_Vegetables\train\tomato\Image_6.jpg,tomato
..\Fruits_Vegetables\train\cabbage\Image_77.jpg,cabbage
..\Fruits_Vegetables\train\pear\Image_62.jpg,pear
..\Fruits_Vegetables\train\cabbage\Image_93.jpg,cabbage
..\Fruits_Vegetables\train\watermelon\Image_96.jpg,watermelon
..\Fruits_Vegetables\train\capsicum\Image_9.jpg,capsicum
..\Fruits_Vegetables\train\bell pepper\Image_30.jpg,bell pepper
..\Fruits_Vegetables\train\capsicum\Image_55.jpg,capsicum
..\Fruits_Vegetables\train\pineapple\Image_61.jpg,pineapple
..\Fruits_Vegetables\train\watermelon\Image_81.jpg,watermelon
..\Fruits_Vegetables\train\paprika\Image_35.jpg,paprika
..\Fruits_Vegetables\train\turnip\Image_57.jpg,turnip
..\Fruits_Vegetables\train\orange\Image_4.jpg,orange
..\Fruits_Vegetables\train\banana\Image_40.jpg,banana
..\Fruits_Vegetables\train\chilli pepper\Image_32.jpg,chilli pepper
..\Fruits_Vegetables\train\lettuce\Image_41.jpg,lettuce
..\Fruits_Vegetables\train\banana\Image_4.jpg,banana
..\Fruits_Vegetables\train\garlic\Image_3.jpg,garlic
..\Fruits_Vegetables\train\sweetcorn\Image_42.jpg,sweetcorn
..\Fruits_Vegetables\train\spinach\Image_53.jpg,spinach
..\Fruits_Vegetables\train\cauliflower\Image_9.jpg,cauliflower
..\Fruits_Vegetables\train\pineapple\Image_19.jpg,pineapple
..\Fruits_Vegetables\train\paprika\Image_63.jpg,paprika
..\Fruits_Vegetables\train\soy beans\Image_74.jpg,soy beans
..\Fruits_Vegetables\train\sweetpotato\Image_70.jpg,sweetpotato
..\Fruits_Vegetables\train\apple\Image_56.jpg,apple
..\Fruits_Vegetables\train\beetroot\Image_38.jpg,beetroot
..\Fruits_Vegetables\train\bell pepper\Image_75.jpg,bell pepper
..\Fruits_Vegetables\train\sweetcorn\Image_74.jpg,sweetcorn
..\Fruits_Vegetables\train\banana\Image_76.jpg,banana
..\Fruits_Vegetables\train\sweetpotato\Image_81.jpg,sweetpotato
..\Fruits_Vegetables\train\onion\Image_16.jpg,onion
..\Fruits_Vegetables\train\pomegranate\Image_5.jpg,pomegranate
..\Fruits_Vegetables\train\chilli pepper\Image_51.jpg,chilli pepper
..\Fruits_Vegetables\train\raddish\Image_57.jpg,raddish
..\Fruits_Vegetables\train\garlic\Image_11.jpg,garlic
..\Fruits_Vegetables\train\beetroot\Image_77.jpg,beetroot
..\Fruits_Vegetables\train\peas\Image_84.jpg,peas
..\Fruits_Vegetables\train\bell pepper\Image_84.jpg,bell pepper
..\Fruits_Vegetables\train\carrot\Image_53.jpg,carrot
..\Fruits_Vegetables\train\spinach\Image_2.jpg,spinach
..\Fruits_Vegetables\train\pomegranate\Image_71.jpg,pomegranate
..\Fruits_Vegetables\train\bell pepper\Image_27.jpg,bell pepper
..\Fruits_Vegetables\train\paprika\Image_13.jpg,paprika
..\Fruits_Vegetables\train\grapes\Image_53.jpg,grapes
..\Fruits_Vegetables\train\pineapple\Image_66.jpg,pineapple
..\Fruits_Vegetables\train\sweetcorn\Image_40.jpg,sweetcorn
..\Fruits_Vegetables\train\chilli pepper\Image_60.jpg,chilli pepper
..\Fruits_Vegetables\train\orange\Image_15.jpg,orange
..\Fruits_Vegetables\train\lettuce\Image_94.jpg,lettuce
..\Fruits_Vegetables\train\mango\Image_62.jpg,mango
..\Fruits_Vegetables\train\tomato\Image_79.jpg,tomato
..\Fruits_Vegetables\train\corn\Image_17.jpg,corn
..\Fruits_Vegetables\train\garlic\Image_8.jpg,garlic
..\Fruits_Vegetables\train\spinach\Image_54.jpg,spinach
..\Fruits_Vegetables\train\jalepeno\Image_27.jpg,jalepeno
..\Fruits_Vegetables\train\turnip\Image_75.jpg,turnip
..\Fruits_Vegetables\train\pineapple\Image_100.jpg,pineapple
..\Fruits_Vegetables\train\potato\Image_91.jpg,potato
..\Fruits_Vegetables\train\cabbage\Image_55.jpg,cabbage
..\Fruits_Vegetables\train\pomegranate\Image_1.jpg,pomegranate
..\Fruits_Vegetables\train\pear\Image_26.jpg,pear
..\Fruits_Vegetables\train\jalepeno\Image_8.jpg,jalepeno
..\Fruits_Vegetables\train\apple\Image_37.jpg,apple
..\Fruits_Vegetables\train\cabbage\Image_30.jpg,cabbage
..\Fruits_Vegetables\train\jalepeno\Image_3.jpg,jalepeno
..\Fruits_Vegetables\train\lemon\Image_56.jpg,lemon
..\Fruits_Vegetables\train\pear\Image_79.jpg,pear
..\Fruits_Vegetables\train\garlic\Image_17.jpg,garlic
..\Fruits_Vegetables\train\bell pepper\Image_44.jpg,bell pepper
..\Fruits_Vegetables\train\cabbage\Image_14.jpg,cabbage
..\Fruits_Vegetables\train\sweetpotato\Image_2.jpg,sweetpotato
..\Fruits_Vegetables\train\pineapple\Image_18.jpg,pineapple
..\Fruits_Vegetables\train\grapes\Image_13.jpg,grapes
..\Fruits_Vegetables\train\watermelon\Image_90.jpg,watermelon
..\Fruits_Vegetables\train\grapes\Image_72.JPG,grapes
..\Fruits_Vegetables\train\chilli pepper\Image_35.jpg,chilli pepper
..\Fruits_Vegetables\train\peas\Image_51.jpg,peas
..\Fruits_Vegetables\train\potato\Image_74.jpg,potato
..\Fruits_Vegetables\train\sweetcorn\Image_63.jpg,sweetcorn
..\Fruits_Vegetables\train\onion\Image_7.jpg,onion
..\Fruits_Vegetables\train\kiwi\Image_70.jpg,kiwi
..\Fruits_Vegetables\train\carrot\Image_79.jpg,carrot
..\Fruits_Vegetables\train\potato\Image_56.jpg,potato
..\Fruits_Vegetables\train\apple\Image_82.jpg,apple
..\Fruits_Vegetables\train\cabbage\Image_60.JPG,cabbage
..\Fruits_Vegetables\train\ginger\Image_25.jpg,ginger
..\Fruits_Vegetables\train\turnip\Image_98.jpg,turnip
..\Fruits_Vegetables\train\paprika\Image_100.jpg,paprika
..\Fruits_Vegetables\train\apple\Image_23.jpg,apple
..\Fruits_Vegetables\train\garlic\Image_76.jpg,garlic
..\Fruits_Vegetables\train\cucumber\Image_77.jpg,cucumber
..\Fruits_Vegetables\train\lemon\Image_30.jpg,lemon
..\Fruits_Vegetables\train\spinach\Image_38.jpg,spinach
..\Fruits_Vegetables\train\corn\Image_35.jpg,corn
..\Fruits_Vegetables\train\potato\Image_49.jpg,potato
..\Fruits_Vegetables\train\pineapple\Image_2.jpg,pineapple
..\Fruits_Vegetables\train\pear\Image_73.jpg,pear
..\Fruits_Vegetables\train\grapes\Image_99.jpg,grapes
..\Fruits_Vegetables\train\capsicum\Image_89.jpg,capsicum
..\Fruits_Vegetables\train\apple\Image_87.jpg,apple
..\Fruits_Vegetables\train\pear\Image_17.jpg,pear
..\Fruits_Vegetables\train\spinach\Image_86.jpg,spinach
..\Fruits_Vegetables\train\corn\Image_7.jpg,corn
..\Fruits_Vegetables\train\eggplant\Image_73.jpg,eggplant
..\Fruits_Vegetables\train\cucumber\Image_25.jpg,cucumber
..\Fruits_Vegetables\train\eggplant\Image_33.jpg,eggplant
..\Fruits_Vegetables\train\jalepeno\Image_82.jpg,jalepeno
..\Fruits_Vegetables\train\corn\Image_74.jpg,corn
..\Fruits_Vegetables\train\pear\Image_24.jpg,pear
..\Fruits_Vegetables\train\kiwi\Image_88.jpg,kiwi
..\Fruits_Vegetables\train\watermelon\Image_50.jpg,watermelon
..\Fruits_Vegetables\train\raddish\Image_63.jpg,raddish
..\Fruits_Vegetables\train\tomato\Image_52.jpg,tomato
..\Fruits_Vegetables\train\beetroot\Image_4.jpg,beetroot
..\Fruits_Vegetables\train\mango\Image_93.jpg,mango
..\Fruits_Vegetables\train\pomegranate\Image_56.jpg,pomegranate
..\Fruits_Vegetables\train\capsicum\Image_56.jpg,capsicum
..\Fruits_Vegetables\train\beetroot\Image_100.jpg,beetroot
..\Fruits_Vegetables\train\corn\Image_83.jpg,corn
..\Fruits_Vegetables\train\mango\Image_22.jpg,mango
..\Fruits_Vegetables\train\potato\Image_48.jpg,potato
..\Fruits_Vegetables\train\pineapple\Image_51.JPG,pineapple
..\Fruits_Vegetables\train\kiwi\Image_72.jpg,kiwi
..\Fruits_Vegetables\train\pomegranate\Image_9.jpg,pomegranate
..\Fruits_Vegetables\train\chilli pepper\Image_42.jpg,chilli pepper
..\Fruits_Vegetables\train\jalepeno\Image_10.jpg,jalepeno
..\Fruits_Vegetables\train\lemon\Image_80.jpg,lemon
..\Fruits_Vegetables\train\jalepeno\Image_21.jpg,jalepeno
..\Fruits_Vegetables\train\raddish\Image_91.jpg,raddish
..\Fruits_Vegetables\train\mango\Image_25.jpg,mango
..\Fruits_Vegetables\train\pomegranate\Image_3.jpg,pomegranate
..\Fruits_Vegetables\train\turnip\Image_14.jpg,turnip
..\Fruits_Vegetables\train\ginger\Image_38.jpg,ginger
..\Fruits_Vegetables\train\turnip\Image_17.jpg,turnip
..\Fruits_Vegetables\train\potato\Image_44.jpg,potato
..\Fruits_Vegetables\train\grapes\Image_15.jpg,grapes
..\Fruits_Vegetables\train\orange\Image_17.JPG,orange
..\Fruits_Vegetables\train\pomegranate\Image_17.jpg,pomegranate
..\Fruits_Vegetables\train\sweetpotato\Image_8.jpg,sweetpotato
..\Fruits_Vegetables\train\capsicum\Image_31.jpg,capsicum
..\Fruits_Vegetables\train\tomato\Image_20.jpg,tomato
..\Fruits_Vegetables\train\soy beans\Image_54.jpg,soy beans
..\Fruits_Vegetables\train\apple\Image_5.JPG,apple
..\Fruits_Vegetables\train\grapes\Image_77.jpg,grapes
..\Fruits_Vegetables\train\corn\Image_50.jpg,corn
..\Fruits_Vegetables\train\cauliflower\Image_96.jpg,cauliflower
..\Fruits_Vegetables\train\kiwi\Image_62.jpg,kiwi
..\Fruits_Vegetables\train\cabbage\Image_17.jpg,cabbage
..\Fruits_Vegetables\train\soy beans\Image_61.jpg,soy beans
..\Fruits_Vegetables\train\peas\Image_18.jpg,peas
..\Fruits_Vegetables\train\ginger\Image_8.jpg,ginger
..\Fruits_Vegetables\train\pineapple\Image_72.jpg,pineapple
..\Fruits_Vegetables\train\peas\Image_20.jpg,peas
..\Fruits_Vegetables\train\kiwi\Image_17.jpg,kiwi
..\Fruits_Vegetables\train\sweetcorn\Image_53.jpg,sweetcorn
..\Fruits_Vegetables\train\cucumber\Image_69.jpg,cucumber
..\Fruits_Vegetables\train\peas\Image_54.jpg,peas
..\Fruits_Vegetables\train\potato\Image_12.jpg,potato
..\Fruits_Vegetables\train\tomato\Image_2.jpg,tomato
..\Fruits_Vegetables\train\kiwi\Image_52.jpg,kiwi
..\Fruits_Vegetables\train\sweetcorn\Image_50.jpg,sweetcorn
..\Fruits_Vegetables\train\carrot\Image_11.jpg,carrot
..\Fruits_Vegetables\train\corn\Image_55.jpg,corn
..\Fruits_Vegetables\train\beetroot\Image_34.jpg,beetroot
..\Fruits_Vegetables\train\turnip\Image_92.jpg,turnip
..\Fruits_Vegetables\train\paprika\Image_8.jpg,paprika
..\Fruits_Vegetables\train\lettuce\Image_42.jpg,lettuce
..\Fruits_Vegetables\train\chilli pepper\Image_15.jpg,chilli pepper
..\Fruits_Vegetables\train\carrot\Image_85.jpg,carrot
..\Fruits_Vegetables\train\turnip\Image_70.jpg,turnip
..\Fruits_Vegetables\train\onion\Image_93.jpg,onion
..\Fruits_Vegetables\train\cucumber\Image_9.jpg,cucumber
..\Fruits_Vegetables\train\soy beans\Image_44.jpg,soy beans
..\Fruits_Vegetables\train\kiwi\Image_32.jpg,kiwi
..\Fruits_Vegetables\train\soy beans\Image_78.jpg,soy beans
..\Fruits_Vegetables\train\capsicum\Image_5.jpg,capsicum
..\Fruits_Vegetables\train\eggplant\Image_46.jpg,eggplant
..\Fruits_Vegetables\train\potato\Image_79.jpg,potato
..\Fruits_Vegetables\train\raddish\Image_65.jpg,raddish
..\Fruits_Vegetables\train\beetroot\Image_35.jpg,beetroot
..\Fruits_Vegetables\train\garlic\Image_68.jpg,garlic
..\Fruits_Vegetables\train\jalepeno\Image_78.jpg,jalepeno
..\Fruits_Vegetables\train\garlic\Image_78.jpg,garlic
..\Fruits_Vegetables\train\lettuce\Image_11.jpg,lettuce
..\Fruits_Vegetables\train\jalepeno\Image_28.jpg,jalepeno
..\Fruits_Vegetables\train\pineapple\Image_20.jpg,pineapple
..\Fruits_Vegetables\train\capsicum\Image_93.jpg,capsicum
..\Fruits_Vegetables\train\corn\Image_97.jpg,corn
..\Fruits_Vegetables\train\turnip\Image_46.jpg,turnip
..\Fruits_Vegetables\train\jalepeno\Image_33.jpg,jalepeno
..\Fruits_Vegetables\train\kiwi\Image_73.jpg,kiwi
..\Fruits_Vegetables\train\cucumber\Image_79.jpg,cucumber
..\Fruits_Vegetables\train\corn\Image_25.jpg,corn
..\Fruits_Vegetables\train\tomato\Image_3.jpg,tomato
..\Fruits_Vegetables\train\kiwi\Image_51.jpg,kiwi
..\Fruits_Vegetables\train\jalepeno\Image_42.jpg,jalepeno
..\Fruits_Vegetables\train\onion\Image_8.jpg,onion
..\Fruits_Vegetables\train\grapes\Image_21.jpg,grapes
..\Fruits_Vegetables\train\paprika\Image_17.jpg,paprika
..\Fruits_Vegetables\train\capsicum\Image_50.jpg,capsicum
..\Fruits_Vegetables\train\peas\Image_1.jpg,peas
..\Fruits_Vegetables\train\orange\Image_45.jpg,orange
..\Fruits_Vegetables\train\onion\Image_13.jpg,onion
..\Fruits_Vegetables\train\sweetpotato\Image_42.jpg,sweetpotato
..\Fruits_Vegetables\train\garlic\Image_30.jpg,garlic
..\Fruits_Vegetables\train\sweetpotato\Image_63.jpg,sweetpotato
..\Fruits_Vegetables\train\turnip\Image_24.jpg,turnip
..\Fruits_Vegetables\train\lemon\Image_70.jpg,lemon
..\Fruits_Vegetables\train\potato\Image_28.jpg,potato
..\Fruits_Vegetables\train\ginger\Image_78.jpg,ginger
..\Fruits_Vegetables\train\capsicum\Image_21.jpg,capsicum
..\Fruits_Vegetables\train\tomato\Image_8.jpg,tomato
..\Fruits_Vegetables\train\watermelon\Image_68.jpg,watermelon
..\Fruits_Vegetables\train\lettuce\Image_98.jpg,lettuce
..\Fruits_Vegetables\train\corn\Image_63.jpg,corn
..\Fruits_Vegetables\train\capsicum\Image_69.jpg,capsicum
..\Fruits_Vegetables\train\onion\Image_32.jpg,onion
..\Fruits_Vegetables\train\banana\Image_100.jpg,banana
..\Fruits_Vegetables\train\orange\Image_56.jpg,orange
..\Fruits_Vegetables\train\potato\Image_85.jpg,potato
..\Fruits_Vegetables\train\mango\Image_18.jpg,mango
..\Fruits_Vegetables\train\potato\Image_34.jpg,potato
..\Fruits_Vegetables\train\beetroot\Image_16.jpg,beetroot
..\Fruits_Vegetables\train\grapes\Image_4.jpg,grapes
..\Fruits_Vegetables\train\lemon\Image_13.jpg,lemon
..\Fruits_Vegetables\train\apple\Image_34.jpg,apple
..\Fruits_Vegetables\train\raddish\Image_4.jpg,raddish
..\Fruits_Vegetables\train\bell pepper\Image_8.jpg,bell pepper
..\Fruits_Vegetables\train\soy beans\Image_45.jpg,soy beans
..\Fruits_Vegetables\train\lettuce\Image_37.jpg,lettuce
..\Fruits_Vegetables\train\chilli pepper\Image_41.jpg,chilli pepper
..\Fruits_Vegetables\train\paprika\Image_87.jpg,paprika
..\Fruits_Vegetables\train\raddish\Image_72.jpg,raddish
..\Fruits_Vegetables\train\corn\Image_10.jpg,corn
..\Fruits_Vegetables\train\tomato\Image_45.jpg,tomato
..\Fruits_Vegetables\train\garlic\Image_86.jpg,garlic
..\Fruits_Vegetables\train\watermelon\Image_56.jpg,watermelon
..\Fruits_Vegetables\train\mango\Image_99.jpg,mango
..\Fruits_Vegetables\train\carrot\Image_59.jpg,carrot
..\Fruits_Vegetables\train\capsicum\Image_35.jpg,capsicum
..\Fruits_Vegetables\train\watermelon\Image_62.jpg,watermelon
..\Fruits_Vegetables\train\pineapple\Image_14.jpg,pineapple
..\Fruits_Vegetables\train\tomato\Image_77.jpg,tomato
..\Fruits_Vegetables\train\garlic\Image_22.jpg,garlic
..\Fruits_Vegetables\train\grapes\Image_54.jpg,grapes
..\Fruits_Vegetables\train\turnip\Image_93.JPG,turnip
..\Fruits_Vegetables\train\spinach\Image_10.jpg,spinach
..\Fruits_Vegetables\train\turnip\Image_74.jpg,turnip
..\Fruits_Vegetables\train\mango\Image_6.jpg,mango
..\Fruits_Vegetables\train\kiwi\Image_18.jpg,kiwi
..\Fruits_Vegetables\train\soy beans\Image_28.jpg,soy beans
..\Fruits_Vegetables\train\sweetpotato\Image_4.jpg,sweetpotato
..\Fruits_Vegetables\train\raddish\Image_69.jpg,raddish
..\Fruits_Vegetables\train\watermelon\Image_70.jpg,watermelon
..\Fruits_Vegetables\train\beetroot\Image_68.jpg,beetroot
..\Fruits_Vegetables\train\capsicum\Image_82.jpg,capsicum
..\Fruits_Vegetables\train\capsicum\Image_16.jpg,capsicum
..\Fruits_Vegetables\train\spinach\Image_16.jpg,spinach
..\Fruits_Vegetables\train\corn\Image_45.jpg,corn
..\Fruits_Vegetables\train\pear\Image_97.jpg,pear
..\Fruits_Vegetables\train\spinach\Image_22.jpg,spinach
..\Fruits_Vegetables\train\eggplant\Image_42.jpg,eggplant
..\Fruits_Vegetables\train\cabbage\Image_39.jpg,cabbage
..\Fruits_Vegetables\train\carrot\Image_42.jpg,carrot
..\Fruits_Vegetables\train\lettuce\Image_96.jpg,lettuce
..\Fruits_Vegetables\train\paprika\Image_82.jpg,paprika
..\Fruits_Vegetables\train\orange\Image_34.jpg,orange
..\Fruits_Vegetables\train\ginger\Image_58.jpg,ginger
..\Fruits_Vegetables\train\orange\Image_7.jpg,orange
..\Fruits_Vegetables\train\pineapple\Image_67.jpg,pineapple
..\Fruits_Vegetables\train\cucumber\Image_1.jpg,cucumber
..\Fruits_Vegetables\train\capsicum\Image_80.jpg,capsicum
..\Fruits_Vegetables\train\eggplant\Image_100.jpg,eggplant
..\Fruits_Vegetables\train\pineapple\Image_57.jpg,pineapple
..\Fruits_Vegetables\train\eggplant\Image_6.jpg,eggplant
..\Fruits_Vegetables\train\lettuce\Image_55.jpg,lettuce
..\Fruits_Vegetables\train\onion\Image_95.jpg,onion
..\Fruits_Vegetables\train\raddish\Image_2.jpg,raddish
..\Fruits_Vegetables\train\spinach\Image_41.jpg,spinach
..\Fruits_Vegetables\train\orange\Image_20.jpg,orange
..\Fruits_Vegetables\train\pineapple\Image_84.jpg,pineapple
